user_id,friend_id
357,386
343,488
241,211
245,330
74,448
430,83
280,324
32,222
407,99
49,391
197,289
48,166
180,93
259,386
345,160
97,58
475,391
18,115
474,166
116,458
231,408
229,335
330,387
127,58
476,212
453,228
304,105
111,464
284,392
432,290
17,48
182,115
242,166
407,233
489,43
219,182
310,300
296,402
392,110
307,2
372,397
413,398
45,2
13,464
388,341
462,290
214,188
2,305
43,306
115,182
328,475
340,300
18,249
441,352
339,75
314,18
93,19
38,120
395,357
431,14
496,409
155,116
358,475
399,476
91,131
397,403
493,111
223,250
300,470
374,419
52,368
186,368
280,3
373,194
411,486
123,19
461,14
485,408
121,131
200,424
252,25
114,91
494,312
366,312
94,378
176,188
170,373
395,491
320,317
359,245
89,384
493,245
204,142
322,363
220,86
373,328
385,153
101,394
412,256
109,255
172,45
177,389
312,25
424,266
28,266
201,194
365,36
494,446
157,272
60,339
357,333
305,143
16,40
356,108
37,328
92,35
410,344
432,103
69,51
430,30
160,169
49,338
448,47
139,231
240,283
364,349
64,57
275,277
467,447
120,339
268,237
180,390
416,108
443,211
206,298
136,468
134,395
282,293
469,119
284,339
113,457
300,283
90,473
411,299
15,299
101,73
450,227
316,412
85,479
66,237
200,237
6,371
288,57
18,196
77,22
415,17
57,309
115,479
189,428
249,479
285,136
395,304
436,305
260,79
399,423
110,320
209,299
33,73
470,74
112,366
51,90
413,479
91,428
451,182
201,7
63,73
104,74
408,485
477,90
67,192
213,17
22,449
419,85
405,187
121,428
98,444
170,320
266,28
359,192
433,141
116,434
460,244
410,157
363,311
93,450
169,445
47,455
465,214
146,434
481,158
156,398
178,157
367,29
495,214
285,404
233,214
117,39
208,157
455,34
36,50
379,389
453,338
241,455
240,230
64,4
143,297
430,327
485,34
201,275
27,122
104,342
442,337
276,45
124,405
297,333
8,230
159,399
346,225
323,241
271,51
39,482
209,112
277,246
230,400
188,174
237,66
66,184
406,252
392,354
423,421
45,246
22,262
366,72
24,308
75,246
190,196
264,145
322,123
38,364
304,483
417,360
491,309
412,16
150,16
205,477
246,478
295,370
369,319
28,26
129,78
258,488
5,42
393,124
156,211
104,21
255,190
12,432
172,155
158,257
157,32
234,252
387,494
473,268
500,371
495,27
21,144
475,314
190,330
229,258
79,499
16,150
90,99
164,48
155,494
356,218
218,284
430,140
201,88
321,382
49,448
236,274
318,84
259,443
386,218
289,285
497,207
4,274
243,290
229,392
377,290
96,48
228,167
300,43
379,336
439,387
277,59
92,279
31,3
355,100
434,393
489,100
43,13
408,111
45,59
196,228
402,296
25,346
61,3
115,239
6,481
436,65
114,14
191,234
3,183
77,132
397,110
452,9
341,178
93,76
304,296
455,465
496,466
293,137
91,188
11,424
429,183
332,250
406,199
161,368
334,296
64,435
12,245
350,240
140,430
234,65
389,353
265,317
154,486
460,4
357,256
439,66
207,497
262,369
391,25
451,76
148,267
129,25
220,143
49,261
48,36
350,374
372,133
5,339
46,148
13,200
425,144
141,385
306,452
400,87
4,87
116,328
303,154
14,51
113,30
343,492
469,42
460,488
336,452
358,211
69,108
486,396
310,170
48,170
199,339
240,340
221,98
349,283
99,108
175,103
367,273
270,340
325,47
416,165
495,458
57,232
222,299
170,109
203,57
282,350
15,6
185,417
205,103
36,294
17,52
430,221
397,273
333,288
300,340
38,340
236,355
386,299
348,7
408,58
413,402
91,351
427,300
311,125
80,192
268,428
477,13
174,12
8,474
456,75
57,366
454,2
431,18
343,171
128,17
169,18
224,479
77,429
110,377
70,12
75,356
149,305
245,13
415,424
107,79
468,58
373,198
390,367
87,366
202,316
348,141
301,295
179,305
253,254
406,496
381,439
45,490
153,23
158,367
405,244
121,485
495,137
137,429
439,13
174,496
282,29
70,146
171,198
264,389
437,317
449,142
202,450
236,34
466,496
488,255
143,220
253,388
201,198
178,214
250,90
370,384
425,91
120,209
421,322
453,45
57,45
20,163
433,332
400,384
336,399
397,86
113,327
300,153
453,395
48,117
28,404
432,457
163,40
242,333
464,153
194,292
142,102
221,395
6,241
345,461
419,410
18,66
45,169
157,410
457,113
286,231
360,180
76,421
98,180
249,349
323,298
340,467
436,175
37,466
78,467
339,242
399,293
36,241
416,462
127,359
90,477
131,478
487,113
492,457
203,354
239,11
277,303
390,180
161,128
166,472
17,349
108,467
182,416
204,175
66,241
43,257
65,16
404,236
423,478
82,185
255,113
389,113
292,180
22,319
42,5
195,247
360,314
368,175
79,72
475,237
176,355
341,422
14,27
352,22
390,314
54,365
353,432
47,325
179,252
220,253
255,247
444,146
158,314
419,89
9,191
121,432
157,89
324,202
35,99
309,79
449,89
261,38
51,228
431,449
68,397
439,310
433,495
70,443
488,202
317,320
413,28
143,167
220,387
256,44
333,264
44,161
81,228
275,444
60,290
25,269
346,95
136,285
497,264
222,59
175,213
474,280
229,449
284,156
96,105
305,444
57,342
439,444
117,393
304,219
92,336
240,234
188,44
64,8
407,347
355,157
393,449
467,398
489,157
258,224
318,275
43,70
120,290
64,358
482,117
9,459
210,183
27,476
173,301
195,60
189,245
1,194
191,291
55,430
77,189
68,76
202,76
241,4
466,122
47,138
354,66
445,184
45,250
297,471
61,194
135,143
195,194
24,312
189,379
341,369
19,318
401,420
394,380
31,328
58,431
144,205
331,31
467,77
296,195
444,93
86,385
447,364
259,313
345,87
83,87
234,256
387,498
211,272
269,442
114,339
213,318
39,165
157,386
229,262
449,36
113,87
228,37
357,447
305,257
90,103
169,396
263,31
469,99
96,268
187,386
32,283
333,211
337,330
461,396
483,155
259,447
312,273
372,324
214,115
250,334
291,335
62,283
84,42
120,453
288,37
251,155
206,412
302,120
300,47
379,340
79,48
298,351
320,110
110,300
471,279
223,177
112,346
318,222
450,341
235,187
163,284
80,249
365,418
43,367
98,74
441,413
100,120
105,464
210,480
191,238
265,187
457,357
176,115
19,131
98,424
492,351
395,418
431,75
205,294
31,141
471,413
283,362
369,136
448,429
52,429
33,187
374,480
299,306
371,182
87,423
188,475
12,249
466,419
158,74
237,367
273,24
372,3
102,142
214,383
179,362
13,70
404,480
137,136
142,480
250,13
403,255
67,306
141,255
172,322
366,373
94,439
137,486
170,434
211,435
144,152
185,153
245,204
299,440
236,91
53,384
409,19
177,450
465,328
220,497
467,374
324,96
2,45
81,338
103,97
268,164
306,456
345,384
326,142
56,281
419,333
248,451
344,159
154,35
324,446
458,446
117,153
309,323
20,220
395,97
460,492
333,158
90,400
44,405
29,282
464,210
290,57
210,293
243,241
8,344
346,339
57,236
189,355
230,164
380,108
449,467
75,226
374,293
355,51
52,242
401,396
198,67
225,170
258,118
299,119
240,478
17,406
429,350
327,73
43,314
142,293
269,68
381,309
40,16
105,411
344,427
98,371
79,129
84,473
211,248
244,196
436,366
422,468
458,125
246,242
399,484
452,310
111,17
223,258
126,325
51,151
486,79
293,438
199,22
167,484
468,412
275,17
406,500
32,259
447,474
383,489
9,248
60,213
192,140
250,310
497,187
113,197
225,438
51,285
439,367
236,38
263,141
69,275
220,444
294,393
275,151
354,444
489,80
236,388
81,285
139,455
345,331
386,332
23,280
83,331
22,55
383,34
421,326
173,224
113,331
448,55
129,460
108,337
44,352
467,455
140,60
406,179
402,410
484,220
121,168
214,359
159,460
368,45
285,10
323,302
309,404
114,128
191,348
438,225
168,364
374,240
30,430
401,343
492,461
239,15
