user_id,shelf_name,is_private
1,Favorites,0
1,Has Read,1
1,Wants to Read,0
1,Currently Reading,0
2,Favorites,1
2,Has Read,1
2,Wants to Read,0
2,Currently Reading,0
2,Office Local North End Themselves,1
2,Really Mission Industry Gun Particular,1
2,Mind Bed Member Bit Adult Bed,1
2,Opportunity Wife Issue,0
2,Increase Left Strong Pressure Make Education,0
3,Favorites,0
3,Has Read,1
3,Wants to Read,1
3,Currently Reading,1
3,Effect Image Weight Court Easy,0
3,Party View Control,1
3,Toward Listen Really Husband Nothing,1
3,Way Suggest Lay Wife Recently Word,0
4,Favorites,0
4,Has Read,1
4,Wants to Read,1
4,Currently Reading,0
4,Mean Serious Campaign Several,1
4,Affect Since Bar Lose Yes,1
5,Favorites,0
5,Has Read,1
5,Wants to Read,1
5,Currently Reading,0
5,Stop Might Security,0
5,Husband Beautiful Mention,1
5,Collection Successful Behind Matter Section Cultural,1
5,Now State Style Perhaps,0
5,Others Model Practice,1
6,Favorites,0
6,Has Read,1
6,Wants to Read,1
6,Currently Reading,0
6,Pick Its Election Home,0
6,Religious Strong Consider Natural Voice,1
6,Reason Under Maybe,1
7,Favorites,0
7,Has Read,1
7,Wants to Read,0
7,Currently Reading,0
7,East Painting Free Establish Food Garden,0
8,Favorites,0
8,Has Read,1
8,Wants to Read,0
8,Currently Reading,1
8,Wish Sign Production Create Trial,1
9,Favorites,0
9,Has Read,0
9,Wants to Read,1
9,Currently Reading,0
9,Child Through Property,1
9,Ever Under Her Religious A Civil,0
9,According Decide Police,0
9,Project Do Several,0
10,Favorites,1
10,Has Read,0
10,Wants to Read,1
10,Currently Reading,0
10,Level Hundred Generation,0
10,Two Light Radio,1
10,Red Answer Senior,1
10,Though Tell Kitchen Network Response,1
10,Firm Ever Story Send,0
11,Favorites,1
11,Has Read,1
11,Wants to Read,0
11,Currently Reading,0
11,Popular Expect Son,0
11,Eight Push Speak,0
11,Teach Fine Mouth,1
11,Method Responsibility Half,0
11,Season Everyone Admit Yet Memory Hundred,0
12,Favorites,0
12,Has Read,1
12,Wants to Read,0
12,Currently Reading,1
12,Onto Arm Rock Kitchen,1
12,Produce Role Note High Management,1
12,Fly Student Page Blue,0
13,Favorites,0
13,Has Read,1
13,Wants to Read,0
13,Currently Reading,0
13,Direction Discussion Activity Near Fly Building,1
13,Quality Listen Short,0
13,Know Avoid Matter Require Everything,1
13,Kid Rest Back Become,1
14,Favorites,1
14,Has Read,0
14,Wants to Read,1
14,Currently Reading,1
14,You Need Quickly High Mention,1
14,To After Apply Republican Trial Least,1
14,Prepare Now Look Itself,0
14,Bank During Role Raise,1
15,Favorites,0
15,Has Read,0
15,Wants to Read,0
15,Currently Reading,1
15,Beyond Maintain Behind Condition Through,0
15,Eat Race On,1
16,Favorites,0
16,Has Read,0
16,Wants to Read,1
16,Currently Reading,1
16,Student Today Stock Challenge Floor White,0
16,Perhaps Price Lot,1
16,Present Probably Billion Reason Would,0
16,Red Example Get Member She Message,1
16,Store Condition Try Modern Parent,1
17,Favorites,1
17,Has Read,1
17,Wants to Read,0
17,Currently Reading,1
17,Open Feel Have Remember,0
17,Occur Rock Free Star Commercial,1
17,Society Seat Owner At Others Art,0
17,Model Bring Girl Store,0
17,Floor Happen Consumer,1
18,Favorites,0
18,Has Read,1
18,Wants to Read,1
18,Currently Reading,1
18,Board Individual Ten Available Drive,1
18,Sit Since Meeting Newspaper Hour Central Provide,1
18,Central Especially Believe Think,1
18,Meeting Agree Note,1
19,Favorites,1
19,Has Read,0
19,Wants to Read,0
19,Currently Reading,0
19,Lose Expect Wife Really,1
19,Sort Consumer Again Ahead Student,1
19,Work Notice Manage Respond Unit Raise,0
19,Population Door Fish,0
19,Price Foreign Evening Of Popular Information,1
